,p,rho,Estimator,Signal,AIC.MSE,BIC.MSE,LOOCV.MSE
0,10.0,0.0,LASSO,Sparse,0.0276267601754141,0.0276267601754141,0.0277027963681879
1,10.0,0.25,LASSO,Sparse,0.0379858436000058,0.0379858436000058,0.0381061615136787
2,10.0,0.5,LASSO,Sparse,0.0510294131306509,0.0510294131306509,0.0512028144944904
3,25.0,0.0,LASSO,Sparse,0.0428176252932606,0.0428176252932606,0.0431290462793649
4,25.0,0.25,LASSO,Sparse,0.0639144108199455,0.0639144108199455,0.0643885080382128
5,25.0,0.5,LASSO,Sparse,0.0974990617015348,0.0974990617015348,0.0987730417601944
6,50.0,0.0,LASSO,Sparse,0.0532661695476551,0.0532661695476551,0.0542319890754581
7,50.0,0.25,LASSO,Sparse,0.0828440369281545,0.0828440369281545,0.0852310576358471
8,50.0,0.5,LASSO,Sparse,0.136256706399367,0.136256706399367,0.1391592660461572
9,10.0,0.0,LASSO,Dense,0.0870018580150966,0.0870018580150966,0.086929693974755
10,10.0,0.25,LASSO,Dense,0.1168835090461173,0.1168835090461173,0.1167772764379458
11,10.0,0.5,LASSO,Dense,0.1667061110779433,0.1667061110779433,0.1665874552930756
12,25.0,0.0,LASSO,Dense,0.0791025936976777,0.0791025936976777,0.0793827888098316
13,25.0,0.25,LASSO,Dense,0.1099453971955123,0.1099453971955123,0.1099926985834789
14,25.0,0.5,LASSO,Dense,0.1592117980228856,0.1592117980228856,0.1593094436120152
15,50.0,0.0,LASSO,Dense,0.0713270366002431,0.0713270366002431,0.0748575747705665
16,50.0,0.25,LASSO,Dense,0.1009328333225943,0.1009328333225943,0.1028970793357514
17,50.0,0.5,LASSO,Dense,0.1469039725521501,0.1469039725521501,0.1482613276435459
0,10.0,0.0,Adaptive_Lasso,Sparse,0.0279218184389999,0.0288482039850983,0.0282007832451053
1,10.0,0.25,Adaptive_Lasso,Sparse,0.0385345184865773,0.0396611399853625,0.0388686756547881
2,10.0,0.5,Adaptive_Lasso,Sparse,0.0515762050292604,0.0530113342072292,0.0520309705472347
3,25.0,0.0,Adaptive_Lasso,Sparse,0.0438913909164756,0.0476467385739669,0.0453677745651762
4,25.0,0.25,Adaptive_Lasso,Sparse,0.0648378156634994,0.0697598720932725,0.0670871452119128
5,25.0,0.5,Adaptive_Lasso,Sparse,0.0996651950965375,0.105163039130709,0.102365093589046
6,50.0,0.0,Adaptive_Lasso,Sparse,0.0537900223202059,0.0654504690747556,0.0610298183021494
7,50.0,0.25,Adaptive_Lasso,Sparse,0.0864246083470016,0.100168346617852,0.0946489984903428
8,50.0,0.5,Adaptive_Lasso,Sparse,0.138376825589301,0.158457322639846,0.15045993479831
9,10.0,0.0,Adaptive_Lasso,Dense,0.087056051528733,0.0899590927985996,0.087138859518862
10,10.0,0.25,Adaptive_Lasso,Dense,0.117535055967792,0.121392667697386,0.117718863612095
11,10.0,0.5,Adaptive_Lasso,Dense,0.167234006568236,0.171987400103166,0.167627494054184
12,25.0,0.0,Adaptive_Lasso,Dense,0.0803410044153883,0.104152308664991,0.0839433081585739
13,25.0,0.25,Adaptive_Lasso,Dense,0.110497294371312,0.134088632466898,0.113869732013696
14,25.0,0.5,Adaptive_Lasso,Dense,0.160821424870857,0.182358771742462,0.163865660747103
