,p,rho,Estimator,Signal,AIC.MSE,BIC.MSE,LOOCV.MSE
0,10.0,0.0,Ridge,Sparse,0.026473577693344016,0.02679961791286217,0.027932621447725077
1,10.0,0.25,Ridge,Sparse,0.03670380612665447,0.03674915616228412,0.037696108457427824
2,10.0,0.5,Ridge,Sparse,0.04857600247799384,0.04904656235319827,0.04948046017765128
3,25.0,0.0,Ridge,Sparse,0.03725844509196598,0.036857605133088424,0.039095679793413635
4,25.0,0.25,Ridge,Sparse,0.05475929463713193,0.055953026735223094,0.05633835913639096
5,25.0,0.5,Ridge,Sparse,0.08261866452262609,0.08187077522600518,0.08443814592466029
6,50.0,0.0,Ridge,Sparse,0.034465973160211265,0.03433842276452399,0.03859972452976537
7,50.0,0.25,Ridge,Sparse,0.05269265145521641,0.05266112461957276,0.05710723781045427
8,50.0,0.5,Ridge,Sparse,0.08306065501059798,0.08348684558478885,0.09026683768981418
9,10.0,0.0,Ridge,Dense,0.08629634572385018,0.08564738827172025,0.08964888458111411
10,10.0,0.25,Ridge,Dense,0.11737408612034608,0.11670948166762439,0.1203707334656788
11,10.0,0.5,Ridge,Dense,0.1655006815304308,0.16507508856695008,0.16812632935435012
12,25.0,0.0,Ridge,Dense,0.07438165676043129,0.07387224653924812,0.07852196719760775
13,25.0,0.25,Ridge,Dense,0.10193254335404156,0.10134871056507626,0.10547529604894455
14,25.0,0.5,Ridge,Dense,0.14630276782366838,0.14642930851727715,0.1514283950107423
15,50.0,0.0,Ridge,Dense,0.05010210767288612,0.04976185594232425,0.05583672546509562
16,50.0,0.25,Ridge,Dense,0.06854494923967634,0.06832147017686839,0.07433065303887218
17,50.0,0.5,Ridge,Dense,0.09891384443314946,0.09920082453528757,0.108823686502854
