"","p","rho","Estimator","Signal","AIC.MSE","BIC.MSE","LOOCV.MSE"
"1",NA,NA,"Adaptive_Lasso",NA,NA,NA,NA
"2",10,0,"Adaptive_Lasso","Sparse",0.0279218184389999,0.0288482039850983,0.0282007832451053
"3",10,0.25,"Adaptive_Lasso","Sparse",0.0385345184865773,0.0396611399853625,0.0388686756547881
"4",10,0.5,"Adaptive_Lasso","Sparse",0.0515762050292604,0.0530113342072292,0.0520309705472347
"5",25,0,"Adaptive_Lasso","Sparse",0.0438913909164756,0.0476467385739669,0.0453677745651762
"6",25,0.25,"Adaptive_Lasso","Sparse",0.0648378156634994,0.0697598720932725,0.0670871452119128
"7",25,0.5,"Adaptive_Lasso","Sparse",0.0996651950965375,0.105163039130709,0.102365093589046
"8",50,0,"Adaptive_Lasso","Sparse",0.0537900223202059,0.0654504690747556,0.0610298183021494
"9",50,0.25,"Adaptive_Lasso","Sparse",0.0864246083470016,0.100168346617852,0.0946489984903428
"10",50,0.5,"Adaptive_Lasso","Sparse",0.138376825589301,0.158457322639846,0.15045993479831
"11",10,0,"Adaptive_Lasso","Dense",0.087056051528733,0.0899590927985996,0.087138859518862
"12",10,0.25,"Adaptive_Lasso","Dense",0.117535055967792,0.121392667697386,0.117718863612095
"13",10,0.5,"Adaptive_Lasso","Dense",0.167234006568236,0.171987400103166,0.167627494054184
"14",25,0,"Adaptive_Lasso","Dense",0.0803410044153883,0.104152308664991,0.0839433081585739
"15",25,0.25,"Adaptive_Lasso","Dense",0.110497294371312,0.134088632466898,0.113869732013696
"16",25,0.5,"Adaptive_Lasso","Dense",0.160821424870857,0.182358771742462,0.163865660747103
"17",50,0,"Adaptive_Lasso","Dense",0.0662289753480191,0.11831191839795,0.081307845365185
"18",50,0.25,"Adaptive_Lasso","Dense",0.094664443385244,0.149718989298464,0.108515697635844
"19",50,0.5,"Adaptive_Lasso","Dense",0.141245024135515,0.196382086408706,0.153559746913951
