"","p","rho","Estimator","Signal","AIC.MSE","BIC.MSE","LOOCV.MSE"
"2",10,0,"Adaptive_Ridge","Sparse",0.0272143889324901,0.0272143889324901,0.0272268484063461
"3",10,0.25,"Adaptive_Ridge","Sparse",0.037418933532306,0.037418933532306,0.0375488426955867
"4",10,0.5,"Adaptive_Ridge","Sparse",0.0502489612572891,0.0502489612572891,0.0506567479437405
"5",25,0,"Adaptive_Ridge","Sparse",0.0382956009604218,0.0382956009604218,0.0398782475029756
"6",25,0.25,"Adaptive_Ridge","Sparse",0.0566959162762441,0.0567066441504077,0.0600683845075104
"7",25,0.5,"Adaptive_Ridge","Sparse",0.0883473778572452,0.0884532684789799,0.0942493147792129
"8",50,0,"Adaptive_Ridge","Sparse",0.0381417424930424,0.110648326324676,0.0457169353790294
"9",50,0.25,"Adaptive_Ridge","Sparse",0.0618049002659735,0.296279300903149,0.0752375350739346
"10",50,0.5,"Adaptive_Ridge","Sparse",0.104523502379741,0.579843604391052,0.126537022775831
"11",10,0,"Adaptive_Ridge","Dense",0.0907378945742878,0.0907378945742878,0.0907378945742878
"12",10,0.25,"Adaptive_Ridge","Dense",0.119663587845454,0.119663587845454,0.119702312121995
"13",10,0.5,"Adaptive_Ridge","Dense",0.168010285162831,0.168010285162831,0.169321473653918
"14",25,0,"Adaptive_Ridge","Dense",0.0807069098474924,0.0807069098474924,0.081301674148036
"15",25,0.25,"Adaptive_Ridge","Dense",0.107667665340177,0.107710497753587,0.111254626793692
"16",25,0.5,"Adaptive_Ridge","Dense",0.154899851720159,0.155100130733856,0.163434294746644
"17",50,0,"Adaptive_Ridge","Dense",0.0612535909173316,0.351416917569705,0.067009493522442
"18",50,0.25,"Adaptive_Ridge","Dense",0.082762095581177,0.465310451787724,0.0947003620898586
"19",50,0.5,"Adaptive_Ridge","Dense",0.124132553463116,0.719122023802221,0.144961083225568
