,p,rho,Estimator,Signal,AIC.MSE,BIC.MSE,LOOCV.MSE
0,10.0,0.0,LASSO,Sparse,0.027626760175414166,0.027626760175414166,0.027702796368187982
1,10.0,0.25,LASSO,Sparse,0.03798584360000585,0.03798584360000585,0.038106161513678787
2,10.0,0.5,LASSO,Sparse,0.05102941313065095,0.05102941313065095,0.05120281449449046
3,25.0,0.0,LASSO,Sparse,0.04281762529326065,0.04281762529326065,0.04312904627936497
4,25.0,0.25,LASSO,Sparse,0.06391441081994559,0.06391441081994559,0.06438850803821282
5,25.0,0.5,LASSO,Sparse,0.09749906170153484,0.09749906170153484,0.09877304176019441
6,50.0,0.0,LASSO,Sparse,0.05326616954765511,0.05326616954765511,0.05423198907545815
7,50.0,0.25,LASSO,Sparse,0.0828440369281545,0.0828440369281545,0.08523105763584718
8,50.0,0.5,LASSO,Sparse,0.136256706399367,0.136256706399367,0.1391592660461572
9,10.0,0.0,LASSO,Dense,0.08700185801509663,0.08700185801509663,0.08692969397475504
10,10.0,0.25,LASSO,Dense,0.11688350904611734,0.11688350904611734,0.11677727643794585
11,10.0,0.5,LASSO,Dense,0.16670611107794336,0.16670611107794336,0.16658745529307567
12,25.0,0.0,LASSO,Dense,0.07910259369767779,0.07910259369767779,0.07938278880983161
13,25.0,0.25,LASSO,Dense,0.10994539719551233,0.10994539719551233,0.10999269858347899
14,25.0,0.5,LASSO,Dense,0.15921179802288563,0.15921179802288563,0.15930944361201524
15,50.0,0.0,LASSO,Dense,0.07132703660024318,0.07132703660024318,0.0748575747705665
16,50.0,0.25,LASSO,Dense,0.1009328333225943,0.1009328333225943,0.10289707933575142
17,50.0,0.5,LASSO,Dense,0.1469039725521501,0.1469039725521501,0.1482613276435459
